Apparent Polar Wander Paths (701) - source: Besse & Courtillot (2002),,,
Age,A95,Plat,Plon
0,2.6,86.2,176.9
10,2,85.3,173.5
20,2.7,83.9,175.9
30,3.8,81.8,190.7
40,3.3,79,201.1
50,3.4,76.9,210.3
60,2.8,74.3,225.7
70,3.2,71.9,233.7
80,6,70.3,241.6
90,5.3,66.7,248.7
100,6.8,65.4,248
110,4.1,57.9,259
120,2.3,54,261.1
130,3.2,50,262.1
140,6.5,45.7,264.5
150,6.8,52.9,260.6
160,5,55.1,259.9
170,6,60.8,260.9
180,5.4,66,260.1
190,4.2,64.7,259
200,4.3,62.2,252.4
